Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,Customer_Segment,Region,State,City,Product_ID,Product_Name,Category,Sub_Category,Unit_Price,Quantity,Discount_Percent,Discount_Amount,Shipping_Cost,Net_Revenue,Total_Cost,Profit,Payment_Method,Marketing_Channel,Order_Status,Delivery_Days,Customer_Rating
ORD100002,2024-01-01,C10481,Joseph Moody,Female,24,New,South,Tennessee,Port Wendybury,P1103,Premium Fitness Equipment,Sports & Outdoors,Fitness Equipment,14.02,1,0.092,1.28,0.0,12.74,8.7,4.04,Credit Card,Email Marketing,Delivered,5,4.0
ORD100029,2024-01-05,C11529,Terri Mathews DDS,Female,18,New,Midwest,Wisconsin,North Jefferyborough,P1162,Essential Outdoor Toy,Toys & Games,Outdoor Toys,97.73,2,0.143,28.02,0.0,167.44,122.4,45.04,Credit Card,Direct,Delivered,4,5.0
ORD100029,2024-01-05,C11529,Terri Mathews DDS,Female,18,New,Midwest,Wisconsin,North Jefferyborough,P1015,Ultra Accessories,Electronics,Accessories,262.65,1,0.214,56.33,0.0,206.32,225.76,-19.44,Credit Card,Direct,Delivered,4,4.0
ORD100029,2024-01-05,C11529,Terri Mathews DDS,Female,18,New,Midwest,Wisconsin,North Jefferyborough,P1005,Signature Smartphones,Electronics,Smartphones,27.07,1,0.139,3.77,0.0,23.3,20.67,-9.7,Credit Card,Direct,Returned,4,
ORD100029,2024-01-05,C11529,Terri Mathews DDS,Female,18,New,Midwest,Wisconsin,North Jefferyborough,P1168,Compact Board Game,Toys & Games,Board Games,75.31,1,0.049,3.66,0.0,71.65,47.42,24.23,Credit Card,Direct,Delivered,4,4.0
ORD100039,2024-01-07,C10878,Sarah Ward,Female,38,New,West,California,Mooreberg,P1068,Classic Cookware,Home & Kitchen,Cookware,63.25,1,0.079,5.01,4.99,58.24,39.31,16.43,PayPal,Referral,Delivered,4,4.0
ORD100039,2024-01-07,C10878,Sarah Ward,Female,38,New,West,California,Mooreberg,P1089,Classic Skincare,Beauty & Personal Care,Skincare,74.96,2,0.106,15.85,4.99,134.07,78.96,52.62,PayPal,Referral,Delivered,4,4.0
ORD100036,2024-01-09,C10376,Jeffrey Colon,Female,37,New,South,Texas,West Malik,P1084,Pro Haircare,Beauty & Personal Care,Haircare,5.63,1,0.0,0.0,6.99,5.63,2.53,-3.89,Credit Card,Paid Search,Delivered,4,4.0
ORD100013,2024-01-12,C10229,Alexander Brown,Male,42,New,South,Florida,Joeland,P1014,Everyday Cameras,Electronics,Cameras,247.7,1,0.08,19.86,9.99,227.84,216.6,1.25,PayPal,Referral,Delivered,2,4.0
ORD100015,2024-01-13,C11590,Jesse Oliver,Female,33,New,Midwest,Minnesota,Port Ricardo,P1035,Deluxe Activewear,Clothing,Activewear,84.38,3,0.091,23.11,6.99,230.03,142.83,85.45,Credit Card,Organic Search,Delivered,3,4.0
ORD100015,2024-01-13,C11590,Jesse Oliver,Female,33,New,Midwest,Minnesota,Port Ricardo,P1188,Everyday Snacks,Grocery,Snacks,37.7,1,0.097,3.64,6.99,34.06,33.84,-1.53,Credit Card,Organic Search,Delivered,3,4.0
ORD100015,2024-01-13,C11590,Jesse Oliver,Female,33,New,Midwest,Minnesota,Port Ricardo,P1141,Basic Educational,Books,Educational,14.08,2,0.029,0.82,6.99,27.34,22.22,3.37,Credit Card,Organic Search,Delivered,3,5.0
ORD100015,2024-01-13,C11590,Jesse Oliver,Female,33,New,Midwest,Minnesota,Port Ricardo,P1115,Essential Outdoor Gear,Sports & Outdoors,Outdoor Gear,141.32,3,0.05,21.01,6.99,402.95,271.2,130.0,Credit Card,Organic Search,Delivered,3,4.0
ORD100063,2024-01-15,C10383,Kyle Aguilar,Female,50,New,West,Nevada,Stephensstad,P1039,Pro Women's Apparel,Clothing,Women's Apparel,29.67,1,0.002,0.06,9.99,29.61,17.18,2.44,Credit Card,Social Media,Delivered,5,3.0
ORD100044,2024-01-16,C10739,Cynthia Hamilton,Female,40,New,West,Washington,East Laurashire,P1045,Ultra Activewear,Clothing,Activewear,16.23,2,0.14,4.55,4.99,27.91,15.3,7.62,PayPal,Organic Search,Delivered,3,4.0
ORD100103,2024-01-16,C11529,Terri Mathews DDS,Female,18,Returning,Midwest,Wisconsin,North Jefferyborough,P1013,Deluxe Headphones,Electronics,Headphones,54.16,1,0.125,6.75,4.99,47.41,44.32,0.59,Credit Card,Direct,Delivered,2,5.0
ORD100103,2024-01-16,C11529,Terri Mathews DDS,Female,18,Returning,Midwest,Wisconsin,North Jefferyborough,P1084,Pro Haircare,Beauty & Personal Care,Haircare,5.63,1,0.0,0.0,4.99,5.63,2.53,0.6,Credit Card,Direct,Delivered,2,4.0
ORD100108,2024-01-17,C10931,Arthur Hill,Male,41,New,South,North Carolina,Jacksonstad,P1110,Pro Team Sports,Sports & Outdoors,Team Sports,89.47,3,0.108,28.87,0.0,239.54,169.59,69.95,PayPal,Paid Search,Delivered,1,5.0
ORD100042,2024-01-20,C10963,John Crosby,Female,48,New,Northeast,New York,Port Julie,P1137,Pro Children's Book,Books,Children's Books,18.13,1,0.076,1.37,0.0,16.76,13.41,3.35,Credit Card,Organic Search,Delivered,6,5.0
ORD100042,2024-01-20,C10963,John Crosby,Female,48,New,Northeast,New York,Port Julie,P1179,Essential Pantry Staples,Grocery,Pantry Staples,50.16,2,0.102,10.19,0.0,90.13,84.52,5.61,Credit Card,Organic Search,Delivered,6,5.0
ORD100042,2024-01-20,C10963,John Crosby,Female,48,New,Northeast,New York,Port Julie,P1053,Premium Storage,Home & Kitchen,Storage,43.02,1,0.092,3.96,0.0,39.06,26.42,12.64,Credit Card,Organic Search,Delivered,6,4.0
ORD100042,2024-01-20,C10963,John Crosby,Female,48,New,Northeast,New York,Port Julie,P1058,Premium Bedding,Home & Kitchen,Bedding,174.15,1,0.071,12.41,0.0,161.74,120.84,40.9,Credit Card,Organic Search,Delivered,6,3.0
ORD100043,2024-01-20,C11001,Linda Jackson,Male,18,New,Northeast,New Jersey,Moniqueport,P1072,Classic Cookware,Home & Kitchen,Cookware,27.53,1,0.0,0.0,6.99,27.53,19.68,0.86,Credit Card,Paid Search,Delivered,3,3.0
ORD100129,2024-01-20,C11185,Joseph Reyes,Male,48,New,South,North Carolina,North Tinaside,P1017,Everyday Cameras,Electronics,Cameras,1050.51,2,0.045,93.71,6.99,2007.31,1645.08,355.24,Credit Card,Organic Search,Delivered,4,3.0
ORD100138,2024-01-21,C10294,Cheryl Wright,Male,49,New,West,Nevada,Jeffreyport,P1097,Ultra Personal Care,Beauty & Personal Care,Personal Care,13.32,2,0.0,0.0,4.99,26.64,13.08,11.07,Buy Now Pay Later,Email Marketing,Delivered,1,5.0
ORD100138,2024-01-21,C10294,Cheryl Wright,Male,49,New,West,Nevada,Jeffreyport,P1000,Classic Accessorie,Electronics,Accessories,106.57,1,0.033,3.55,4.99,103.02,81.62,-27.99,Buy Now Pay Later,Email Marketing,Returned,1,
ORD100147,2024-01-22,C11231,Kristin Brown,Female,21,New,Northeast,Pennsylvania,Jamesborough,P1021,Classic Smartphones,Electronics,Smartphones,28.56,2,0.065,3.73,6.99,53.39,44.04,7.02,Digital Wallet,Social Media,Delivered,5,5.0
ORD100147,2024-01-22,C11231,Kristin Brown,Female,21,New,Northeast,Pennsylvania,Jamesborough,P1011,Pro Smartphones,Electronics,Smartphones,77.47,1,0.054,4.21,6.99,73.26,64.77,6.16,Digital Wallet,Social Media,Delivered,5,4.0
ORD100147,2024-01-22,C11231,Kristin Brown,Female,21,New,Northeast,Pennsylvania,Jamesborough,P1182,Compact Pantry Staples,Grocery,Pantry Staples,50.35,1,0.171,8.6,6.99,41.75,43.37,-3.95,Digital Wallet,Social Media,Delivered,5,5.0
ORD100102,2024-01-23,C11371,Carol Brown,Male,25,New,Northeast,Massachusetts,Terriburgh,P1089,Classic Skincare,Beauty & Personal Care,Skincare,74.96,1,0.0,0.0,4.99,74.96,39.48,34.23,Debit Card,Organic Search,Delivered,3,5.0
ORD100102,2024-01-23,C11371,Carol Brown,Male,25,New,Northeast,Massachusetts,Terriburgh,P1103,Premium Fitness Equipment,Sports & Outdoors,Fitness Equipment,14.02,1,0.11,1.54,4.99,12.48,8.7,2.53,Debit Card,Organic Search,Delivered,3,5.0
ORD100102,2024-01-23,C11371,Carol Brown,Male,25,New,Northeast,Massachusetts,Terriburgh,P1078,Compact Personal Care,Beauty & Personal Care,Personal Care,34.89,1,0.092,3.2,4.99,31.69,14.67,15.77,Debit Card,Organic Search,Delivered,3,4.0
ORD100102,2024-01-23,C11371,Carol Brown,Male,25,New,Northeast,Massachusetts,Terriburgh,P1123,Pro Cycling,Sports & Outdoors,Cycling,41.65,1,0.0,0.0,4.99,41.65,24.32,16.08,Debit Card,Organic Search,Delivered,3,3.0
ORD100151,2024-01-23,C11532,Eric Fuentes,Female,21,New,Northeast,Pennsylvania,Lake Victormouth,P1136,Everyday Children's Book,Books,Children's Books,35.14,2,0.126,8.89,4.99,61.39,48.52,11.87,Credit Card,Direct,Delivered,4,4.0
ORD100151,2024-01-23,C11532,Eric Fuentes,Female,21,New,Northeast,Pennsylvania,Lake Victormouth,P1144,Essential Children's Books,Books,Children's Books,11.93,1,0.019,0.22,4.99,11.71,8.7,2.01,Credit Card,Direct,Delivered,4,4.0
ORD100151,2024-01-23,C11532,Eric Fuentes,Female,21,New,Northeast,Pennsylvania,Lake Victormouth,P1147,Basic Children's Books,Books,Children's Books,8.87,1,0.006,0.05,4.99,8.82,6.54,1.28,Credit Card,Direct,Delivered,4,4.0
ORD100151,2024-01-23,C11532,Eric Fuentes,Female,21,New,Northeast,Pennsylvania,Lake Victormouth,P1114,Classic Fitness Equipment,Sports & Outdoors,Fitness Equipment,195.4,1,0.129,25.16,4.99,170.24,121.98,47.26,Credit Card,Direct,Delivered,4,2.0
ORD100151,2024-01-23,C11532,Eric Fuentes,Female,21,New,Northeast,Pennsylvania,Lake Victormouth,P1069,Everyday Decor,Home & Kitchen,Decor,36.43,2,0.083,6.05,4.99,66.81,42.54,23.27,Credit Card,Direct,Delivered,4,5.0
ORD100156,2024-01-23,C11529,Terri Mathews DDS,Female,18,Returning,Midwest,Wisconsin,North Jefferyborough,P1142,Classic Fiction,Books,Fiction,20.53,1,0.137,2.82,0.0,0.0,16.34,0.0,Debit Card,Paid Search,Cancelled,4,
ORD100156,2024-01-23,C11529,Terri Mathews DDS,Female,18,Returning,Midwest,Wisconsin,North Jefferyborough,P1014,Everyday Cameras,Electronics,Cameras,247.7,2,0.0,0.0,0.0,495.4,433.2,62.2,Debit Card,Paid Search,Delivered,4,4.0
ORD100156,2024-01-23,C11529,Terri Mathews DDS,Female,18,Returning,Midwest,Wisconsin,North Jefferyborough,P1045,Ultra Activewear,Clothing,Activewear,16.23,1,0.014,0.23,0.0,16.0,7.65,8.35,Debit Card,Paid Search,Delivered,4,5.0
ORD100156,2024-01-23,C11529,Terri Mathews DDS,Female,18,Returning,Midwest,Wisconsin,North Jefferyborough,P1062,Basic Storage,Home & Kitchen,Storage,22.49,1,0.141,3.17,0.0,19.32,14.85,4.47,Debit Card,Paid Search,Delivered,4,4.0
ORD100161,2024-01-24,C10682,Hannah Richmond,Female,22,New,West,Oregon,Jeremyborough,P1137,Pro Children's Book,Books,Children's Books,18.13,1,0.111,2.02,0.0,0.0,13.41,0.0,PayPal,Paid Search,Cancelled,4,
ORD100169,2024-01-26,C10843,Andre Terrell,Male,39,New,West,Arizona,New Catherine,P1066,Basic Cookware,Home & Kitchen,Cookware,15.31,4,0.099,6.07,9.99,55.17,41.2,3.98,Credit Card,Referral,Delivered,3,4.0
ORD100172,2024-01-26,C10991,Denise Thompson,Female,41,New,Northeast,Massachusetts,Pageberg,P1038,Everyday Women's Apparel,Clothing,Women's Apparel,84.18,3,0.123,30.99,0.0,221.55,148.17,73.38,Buy Now Pay Later,Organic Search,Delivered,4,3.0
ORD100021,2024-01-27,C10547,Curtis Ortiz,Female,39,New,South,Texas,Thomasburgh,P1019,Classic Accessorie,Electronics,Accessories,353.43,1,0.127,45.03,4.99,308.4,292.35,11.06,Debit Card,Organic Search,Delivered,3,2.0
ORD100177,2024-01-27,C10682,Hannah Richmond,Female,22,Returning,West,Oregon,Jeremyborough,P1040,Signature Activewear,Clothing,Activewear,106.15,1,0.103,10.94,4.99,95.21,51.78,-19.03,Credit Card,Direct,Returned,1,
ORD100177,2024-01-27,C10682,Hannah Richmond,Female,22,Returning,West,Oregon,Jeremyborough,P1113,Signature Fitness Equipment,Sports & Outdoors,Fitness Equipment,255.92,1,0.054,13.7,4.99,242.22,167.07,72.66,Credit Card,Direct,Delivered,1,3.0
ORD100152,2024-01-28,C10770,Roger Norris,Female,51,New,South,Tennessee,New Dawnton,P1019,Classic Accessorie,Electronics,Accessories,353.43,1,0.065,23.07,0.0,330.36,292.35,38.01,Credit Card,Affiliate,Delivered,2,3.0
